chapter,verse,slok,transliteration,tej_et,siva_et,purohit_et,chinmay_et,san_et,adi_et,gambir_et,madhav_et,abhinav_et,vallabh_et,srid_et,dhan_et,venkat_et,neel_et,sankar_et,ms_et,anand_et,raman_et
1,1,"धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||१-१||","dhṛtarāṣṭra uvāca .
dharmakṣetre kurukṣetre samavetā yuyutsavaḥ .
māmakāḥ pāṇḍavāścaiva kimakurvata sañjaya ||1-1||",,Dhritarashtra said What did my people and the sons of Pandu do when they had assembled together eager for battle on the holy plain of Kurukshetra O Sanjaya,"The King Dhritarashtra asked: ""O Sanjaya! What happened on the sacred battlefield of Kurukshetra when my people gathered against the Pandavas?""",,Dhrtarastra said O Sanjaya ! What did my men and the sons of Pandu do in the Kuruksetra the field of righteousness where the entire warring class has assembled ? or O Sanjaya ! What did the selfish intentions and the intentions born of wisdom do in the human body which is the fieldofduties the repository of the senseorgans and in which all the murderous ones (passions and asceticism etc) are confronting [each other],Dhrtarastra said On the holy field of Kuruksetra gathered together eager for battle what did my people and the Pandavas do O Sanjaya?,Dhrtarastra said O Sanjaya what did my sons (and others) and Pandu's sons (and others) actually do when eager for battle they assembled on the sacred field the Kuruksetra (Field of the Kurus)?,,Dharmaksetre etc Here some [authors] offer a different explanation as1 :Kuruksetra : the man's body is the ksetra ie the facilitator of the kurus ie the senseorgans The same is the field of all wordly duties since it is the cuse of their birth; which is also the field of the righteous act that has been described as : 'This is the highest righteous act viz to realise the Self by means of the Yogas'; and which is the protector4 [of the embodied Self] by achieving emancipation [by means of this] through the destruction of all duties It is the location where there is the confrontation among all ksatras the murderous onesbecause the root ksad means 'to kill' viz passion and asceticism wrath and forbearance and others that stand in the mutual relationship of the slayer and the slain Those that exist in it are the mamakasie the intentions that are worthy of man of ignorance and are the products of ignoranceand those that are born of Pandu: ie the intentions of which the soul is the very knowledge itself5 and which are worthy of persons of pure knowledge What did they do? In other words which were vanished by what? Mamaka : a man of ignorance as he utters [always] 'mine' Pandu : the pure one,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,2,"सञ्जय उवाच |
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा |
आचार्यमुपसंगम्य राजा वचनमब्रवीत् ||१-२||","sañjaya uvāca .
dṛṣṭvā tu pāṇḍavānīkaṃ vyūḍhaṃ duryodhanastadā .
ācāryamupasaṃgamya rājā vacanamabravīt ||1-2||",,Sanjaya said Having seen the army of the Pandavas drawn up in battlearray King Duryodhana then approached his teacher (Drona) and spoke these words,"Sanjaya replied: ""The Prince Duryodhana when he saw the army of the Pandavas paraded approached his preceptor Guru Drona and spoke as follows:",,Sanjaya said Seeing the army of the sons of Pandu marshalled in the military array the prince Duryodhana approached the teacher (Drona) and spoke at that time these words:,Sanjaya said King Duryodhana on seeing the Pandava army in battle array approached his teacher Drona and said these words:,Sanjaya said But then seeing the army of the Pandavas in battle array King Duryodhana approached the teacher (Drona) and uttered a speech:,,– Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,3,"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् |
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ||१-३||","paśyaitāṃ pāṇḍuputrāṇāmācārya mahatīṃ camūm .
vyūḍhāṃ drupadaputreṇa tava śiṣyeṇa dhīmatā ||1-3||",,"""Behold O Teacher! this mighty army of the sons of Pandu arrayed by the son of Drupada thy wise disciple",Revered Father! Behold this mighty host of the Pandavas paraded by the son of King Drupada thy wise disciple,,O teacher ! Behold this mighty army of the sons of Pandu marshalled in a military array by Drupada's son your intelligent pupil,Behold O teacher this mighty army of the Pandavas arrayed by the son of Drupada your intelligent disciple,O teacher (please) see this vast army of the sons of Pandu arrayed for battle by the son of Drupada your intelligent disciple,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,4,"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि |
युयुधानो विराटश्च द्रुपदश्च महारथः ||१-४||","atra śūrā maheṣvāsā bhīmārjunasamā yudhi .
yuyudhāno virāṭaśca drupadaśca mahārathaḥ ||1-4||",,Here are heroes mighty archers eal in battle to Bhima and Arjuna Yoyudhana (Satyaki) Virata and Drupada of the great car (mighty warriors),In it are heroes and great bowmen; the equals in battle of Arjuna and Bheema Yuyudhana Virata and Drupada great soldiers all;,,The heroes and mighty archers comparable in war to Bhima and Arjuna here are: Yuyudhana the king of the Virata country and Drupada the mighty warrior;,There (in that army) are heroes great bowmen like Bhima and Arjuna; YuyudhanaVirata and Drupada a mighty warrior;,Here are the heroes wielding great bows who in battle are compeers of Bhima and Arjuna: Yuyudhana (Satyaki) and Virata and the maharatha (great chariotrider) Drupada;,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,5,"धृष्टकेतुश्चेकितानः काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुंगवः ||१-५||","dhṛṣṭaketuścekitānaḥ kāśirājaśca vīryavān .
purujitkuntibhojaśca śaibyaśca narapuṃgavaḥ ||1-5||",,"""Dhrishtaketu chekitana and the valiant king of Kasi Purujit and Kuntibhoja and Saibya the best men",Dhrishtaketu Chekitan the valiant King of Benares Purujit Kuntibhoja Shaibya a master over many;,,Dhrstaketu Cekitana and the valourous king of Kasi and Kuntibhoja the coneror of many and the Sibi king the best among men;,Dhrstaketu Cekitana and the valiant king of Kasi; Purujit and Kuntibhoja and Saibya the best among men;,Dhrstaketu Cekitana and the valiant king of Kasi (Varanasi); Purujit and Kuntibhoja and Saibya the choicest among men;,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,6,"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथाः ||१-६||","yudhāmanyuśca vikrānta uttamaujāśca vīryavān .
saubhadro draupadeyāśca sarva eva mahārathāḥ ||1-6||",,"""The strong Yodhamanyu and the brave Uttamaujas the son of Subhadra (Abhimanyu the son of Subhadra and Arjuna) and the sons of Draupadi all of great chariots (great heroes)",Yudhamanyu Uttamouja Soubhadra and the sons of Droupadi famous men,,And Yudhamanyu the heroic and Uttamaujas the valourous the son of Subhadra and the sons of Draupadiall are indeed mighty warriors,Yudhamanyu the valiant and Uttamaujas the strong; and also the son of Subhadra and the sons of Draupadi all mighty warriors,And the chivalrous Yudhamanyu and the valiant Uttamaujas; son of Subhadra (Abhimanyu) and the sons of Draupadi all (of whom) are verily maharathas,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,7,"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते ||१-७||","asmākaṃ tu viśiṣṭā ye tānnibodha dvijottama .
nāyakā mama sainyasya saṃjñārthaṃ tānbravīmi te ||1-7||",,"""Know also O best among the twiceborn! the names of those who are the most distinguished amongst ourselves the leaders of my army; these I name to thee for thy information",Further take note of all those captains who have ranged themselves on our side O best of Spiritual Guides! The leaders of my army I will name them for you,,O best among the twiceborn ! However please also take note of the most distinguished amongst us who are the generals of my army and who are accepted as leaders by the heroes in the mighty army [of mine]; I shall name them to you,Know O best of Brahmanas those who are important on our side those who are the commanders of my army I shall name them to refresh your memory,But O best among the Brahmanas please be appraised of those who are foremost among us the ?nders of my army I speak of them to you by way of example,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,8,"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जयः |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च ||१-८||","bhavānbhīṣmaśca karṇaśca kṛpaśca samitiñjayaḥ .
aśvatthāmā vikarṇaśca saumadattistathaiva ca ||1-8||",,"""Thyself and Bhishma and Karna and also Kripa the victorious in war Asvatthama Vikarna and also Bhurisrava the son of Somadatta",You come first; then Bheeshma Karna Kripa great soldiers; Ashwaththama Vikarna and the son of Somadhatta;,,Your goodself and Bhisma and Karna krpa Salya Jayadratha Asvatthaman and Vikarna and Somadatta's son the valourous;,Yourself Bhisma and Karna the victorious Krpa Asvatthama Vikarna and Jayadratha the son of Somadatta;,(They are:) Your venerable self Bhisma and Karna and Krpa who is ever victorious in battle; Asvatthama Vikarna Saumadatti and Jayadratha,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,9,"अन्ये च बहवः शूरा मदर्थे त्यक्तजीविताः |
नानाशस्त्रप्रहरणाः सर्वे युद्धविशारदाः ||१-९||","anye ca bahavaḥ śūrā madarthe tyaktajīvitāḥ .
nānāśastrapraharaṇāḥ sarve yuddhaviśāradāḥ ||1-9||",,"""And also many other heroes who are ready to give up their lives for my sake armed with various weapons and missiles all wellskilled in battle",And many others all ready to die for my sake; all armed all skilled in war,,And many other heroes giving up their lives for my sake; fighting with various weapons all very much skilled in different warfares,And there are many other heroes who are determined to give up their lives for my sake They all are experts in using manifold missiles and are dexterous in battle,There are many heroes who have dedicated their lives for my sake who possess various kinds of weapons and missiles (and) all of whom are skilled in battle,,Why this exhaustive counting? The reality of things is this:,,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
1,10,"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् ||१-१०||","aparyāptaṃ tadasmākaṃ balaṃ bhīṣmābhirakṣitam .
paryāptaṃ tvidameteṣāṃ balaṃ bhīmābhirakṣitam ||1-10||",,"""This army of ours marshalled by Bhishma is insufficient whereas that army of theirs marshelled by Bhima is sufficient",Yet our army seems the weaker though commanded by Bheeshma; their army seems the stronger though commanded by Bheema,,Thus the army guarded by Bhima is unlimited (or insufficient) for us; on the other hand the army guarded by Bhisma is limited (or sufficient) for them (the Pandavas),Inadequate is this force of ours which is guarded by Bhisma while adequate is that force of theirs which is guarded by Bhima,Therefore our army under the complete protection of Bhisma and others is unlimited But this army of these (enemies) under the protection of Bhima and others is limited,,Aparyaptam etc For us for Pandava army grauded by Bhimasena is unlimited ie it is not possible to vanish; or it is not sufficient ie very insignificant when compared with our army This is the meaning On the other hand for these Pandavas this army guarded by Bhisma belonging to us is limited ie it is possible to vanish; or it is sufficient ie too much; in other words it is not possible to be vanished in the war by these (Pandavas),,,,,,,,,Dhrtarastra said Sanjaya said Duryodhana after viewing the forces of Pandavas protected by Bhima and his own forces protected by Bhisma conveyed his views thus to Drona his teacher about the adeacy of Bhima's forces for conering the Kaurava forces and the inadeacy of his own forces for victory against the Pandava forces He was griefstricken within Observing his (Duryodhana's) despondecny Bhisma in order to cheer him roared like a lion and then blowing his conch made his side sound their conchs and kettledrums which made an uproar as a sign of victory Then having heard that great tumult Arjuna and Sri Krsna the Lord of all lords who was acting as the charioteer of Arjuna sitting in their great chariot which was powerful enough to coner the three worlds; blew their divine conchs Srimad Pancajanya and Devadatta Then both Yudhisthira and Bhima blew their respective conchs separately That tumult rent asunder the hearts of your sons led by Duryodhana The sons of Dhrtarastra then thought 'Our cause is almost lost now itself' So said Sanjaya to Dhrtarastra who was longing for their victory Sanjaya said to Dhrtarastra: Then seeing the Kauravas who were ready for battle Arjuna who had Hanuman noted for his exploit of burning Lanka as the emblem on his flag on his chariot directed his charioteer Sri Krsna the Supreme Lordwho is overcome by parental love for those who take shelter in Him who is the treasurehouse of knowledge power lordship energy potency and splendour whose sportive delight brings about the origin sustentation and dissolution of the entire cosmos at His will who is the Lord of the senses who controls in all ways the senses inner and outer of all superior and inferior by saying 'Station my chariot in an appropriate place in order that I may see exactly my enemies who are eager for battle'
